Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,Straight Party
Southfield 9,126,562,8,0,10,2,0,708,1
Southfield 10,68,851,3,1,4,0,2,929,1
Southfield 11,42,931,2,0,2,0,1,978,1
Southfield 12,49,759,4,1,4,0,2,819,1
Southfield 13,97,677,1,1,1,0,4,781,1
Southfield 14,134,426,6,0,3,0,0,569,1
Southfield 15,49,597,3,0,2,0,2,653,1
Southfield 16,26,773,0,0,3,0,1,803,1
Southfield 17,72,780,4,0,1,0,0,857,1
Southfield 18,22,1014,4,0,1,0,5,"1,046",1
Southfield 19,50,599,2,1,4,0,3,659,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Southfield 20,29,896,6,1,5,0,4,941,1
Southfield 21,28,997,2,1,3,0,5,"1,036",1
Southfield 22,20,1171,4,2,3,0,1,"1,201",1
Southfield 23,65,976,3,1,5,0,2,"1,052",1
Southfield 24,36,825,3,1,4,1,2,872,1
Southfield 25,44,731,2,0,0,0,1,778,1
Southfield 26,63,735,2,0,1,0,1,802,1
Southfield 27,33,771,6,0,3,0,2,815,1
Southfield 28,33,691,3,0,3,0,3,733,1
Southfield 29,88,1025,5,2,4,0,3,"1,127",1
Southfield 30,103,884,4,1,4,1,3,"1,000",1
Southfield 31,101,966,4,0,2,0,4,"1,077",1
Southfield 32,68,649,4,1,1,0,2,725,1
Southfield 33,42,1067,4,1,2,1,4,"1,121",1
Southfield 34,126,483,4,0,1,0,5,619,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Southfield 35,42,676,3,0,7,1,4,733,1
Southfield 36,64,566,5,2,2,0,5,644,1
Sylvan Lake 1,294,231,10,0,5,0,2,542,1
Troy 1,250,224,3,0,0,1,2,480,1
Troy 2,408,380,6,0,3,0,3,800,1
Troy 3,399,264,5,2,2,1,1,674,1
Troy 4,493,431,10,2,3,0,2,941,1
Troy 5,346,179,4,0,0,0,3,532,1
Troy 6,113,77,1,1,0,0,0,192,1
Troy 7,342,280,4,1,3,0,0,630,1
Troy 8,295,338,5,3,7,0,2,650,1
Troy 9,450,317,9,1,4,0,1,782,1
Troy 10,415,296,7,3,5,0,2,728,1
Troy 11,393,293,7,2,5,0,3,703,1
Troy 12,244,233,0,0,1,0,0,478,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Troy 13,494,479,7,2,7,0,2,991,1
Troy 14,420,312,4,1,0,0,3,740,1
Troy 15,362,340,6,0,3,0,4,715,1
Troy 16,303,281,7,0,2,0,0,593,1
Troy 17,414,346,3,2,5,0,2,772,1
Troy 18,337,170,2,1,1,0,1,512,1
Troy 19,307,180,5,1,2,0,0,495,1
Troy 20,443,356,7,0,5,0,0,811,1
Troy 21,261,263,3,2,3,0,3,535,1
Troy 22,406,449,7,1,8,1,2,874,1
Troy 23,427,488,8,1,5,0,2,931,1
Troy 24,423,372,7,2,7,0,7,818,1
Troy 25,417,480,6,1,5,1,5,915,1
Troy 26,308,401,11,1,7,1,2,731,1
Troy 27,243,389,7,0,4,0,1,644,1
Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,1
Troy 28,215,376,6,3,5,1,3,609,1
Troy 29,429,305,6,1,2,0,1,744,1
Troy 30,93,96,2,1,0,0,1,193,1
Troy 31,168,94,0,1,2,0,1,266,1
Walled Lake 1,416,434,16,3,12,0,8,889,1
Walled Lake 2,493,376,10,0,4,1,6,890,1
Wixom 1,475,252,11,1,9,0,2,750,1
Wixom 2,380,217,12,3,1,0,2,615,1
Wixom 3,260,816,15,2,12,0,6,"1,111",1
Wixom 4,407,405,10,3,4,0,4,833,1
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,
Addison 1,990,291,57,2,13,1,10,"1,364",0
Addison 2,982,380,44,5,10,1,4,"1,426",0
Addison 3,604,251,24,0,8,0,9,896,0
Bloomfield 1,374,373,15,0,2,0,8,772,0
Bloomfield 2,244,257,15,1,2,0,7,526,0
Bloomfield 3,388,601,43,1,4,3,9,"1,049",0
Bloomfield 4,445,467,25,2,8,0,6,953,0
Bloomfield 5,337,384,19,0,4,0,12,756,0
Bloomfield 6,554,413,25,1,1,0,13,"1,007",0
Bloomfield 7,243,286,7,1,4,1,4,546,0
Bloomfield 8,1008,653,53,3,13,0,19,"1,749",0
Bloomfield 9,598,535,47,0,2,1,17,"1,200",0
Bloomfield 10,478,733,29,2,14,0,11,"1,267",0
Bloomfield 11,458,634,49,2,8,0,11,"1,162",0
Bloomfield 12,419,520,27,1,11,0,10,988,0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Bloomfield 13,436,420,38,0,7,0,20,921,0
Bloomfield 14,574,453,35,2,8,0,6,"1,078",0
Bloomfield 15,292,298,16,0,1,0,2,609,0
Bloomfield 16,319,508,40,2,5,0,8,882,0
Bloomfield 17,150,258,14,0,5,0,3,430,0
Bloomfield 18,317,356,25,1,5,1,9,714,0
Bloomfield 19,457,440,34,0,5,1,7,944,0
Bloomfield 20,305,453,24,2,2,0,8,794,0
Bloomfield 21,476,359,24,0,8,0,12,879,0
Bloomfield 22,466,624,34,0,6,0,10,"1,140",0
Bloomfield 23,449,270,12,0,3,0,9,743,0
Bloomfield 24,362,349,21,0,0,0,9,741,0
Bloomfield 25,120,298,8,0,4,0,3,433,0
Bloomfield 26,406,338,25,0,2,1,9,781,0
Bloomfield 27,194,332,10,1,2,0,4,543,0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Bloomfield 28,273,199,17,0,0,0,13,502,0
Bloomfield 29,383,331,19,0,3,0,3,739,0
Bloomfield 30,522,681,37,4,2,0,18,"1,264",0
Bloomfield 31,333,196,5,0,2,0,4,540,0
Bloomfield 32,370,456,14,1,4,0,4,849,0
Brandon 1,965,420,66,3,19,1,9,"1,483",0
Brandon 2,1057,462,69,3,13,0,17,"1,621",0
Brandon 3,1119,500,85,5,21,2,11,"1,743",0
Brandon 4,1331,526,98,4,15,0,14,"1,988",0
Brandon 5,393,292,37,6,13,0,4,745,0
Brandon 6,455,263,27,2,14,0,3,764,0
Commerce 1,709,371,52,7,5,1,8,"1,153",0
Commerce 2,859,567,64,0,16,0,9,"1,515",0
Commerce 3,861,888,56,3,10,0,15,"1,833",0
Commerce 4,954,608,72,1,17,0,7,"1,659",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Commerce 5,1078,627,67,2,10,1,17,"1,802",0
Commerce 6,725,471,58,3,15,0,19,"1,291",0
Commerce 7,1069,566,84,7,16,0,16,"1,758",0
Commerce 8,1145,611,77,7,17,0,25,"1,882",0
Commerce 9,1134,696,61,6,14,1,19,"1,931",0
Commerce 10,876,550,41,5,17,0,13,"1,502",0
Commerce 11,1006,824,63,1,15,0,13,"1,922",0
Commerce 12,550,356,37,3,16,0,3,965,0
Commerce 13,884,668,58,5,19,2,15,"1,651",0
Commerce 14,548,360,38,7,12,2,7,974,0
Commerce 15,811,488,49,3,6,1,13,"1,371",0
Groveland 1,874,307,49,11,8,1,5,"1,255",0
Groveland 2,666,267,29,3,16,1,5,987,0
Groveland 3,622,274,42,2,4,1,8,953,0
Highland 1,1326,524,69,3,16,0,19,"1,957",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Highland 2,1057,418,55,5,13,0,7,"1,555",0
Highland 3,583,292,43,4,11,0,5,938,0
Highland 4,1028,559,94,7,16,1,17,"1,722",0
Highland 5,708,329,46,4,4,0,10,"1,101",0
Highland 6,1025,427,48,2,10,0,7,"1,519",0
Highland 7,609,247,61,5,10,1,6,939,0
Highland 8,633,400,40,3,4,0,8,"1,088",0
Holly 1,737,546,80,3,26,0,9,"1,401",0
Holly 2,739,460,100,7,25,1,7,"1,339",0
Holly 3,887,438,63,3,14,0,10,"1,415",0
Holly 4,957,574,67,1,8,0,9,"1,616",0
Independence 1,1262,626,95,6,14,0,17,"2,020",0
Independence 2,881,489,66,1,13,0,17,"1,467",0
Independence 3,983,529,82,3,9,1,22,"1,629",0
Independence 4,1020,505,63,5,19,0,8,"1,620",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Independence 5,1110,596,51,3,13,0,11,"1,784",0
Independence 6,934,677,66,6,14,1,14,"1,712",0
Independence 7,994,766,86,2,15,0,15,"1,878",0
Independence 8,770,387,45,3,7,0,10,"1,222",0
Independence 9,1118,562,60,3,10,0,12,"1,765",0
Independence 10,850,535,82,9,30,0,8,"1,514",0
Independence 11,1084,615,105,3,17,0,19,"1,843",0
Independence 12,503,293,33,1,8,0,3,841,0
Independence 13,720,451,53,0,15,1,12,"1,252",0
Lyon 1,920,586,80,2,12,1,11,"1,612",0
Lyon 2,1008,682,77,2,7,0,16,"1,792",0
Lyon 3,814,475,71,5,12,0,11,"1,388",0
Lyon 4,846,488,51,4,16,0,11,"1,416",0
Lyon 5,964,565,57,0,11,0,6,"1,603",0
Lyon 6,1506,802,81,1,10,0,15,"2,415",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Milford 1,845,460,68,7,8,0,11,"1,399",0
Milford 2,651,301,46,4,17,1,6,"1,026",0
Milford 3,865,466,37,1,10,0,12,"1,391",0
Milford 4,1279,747,76,7,12,0,22,"2,143",0
Milford 5,212,190,14,0,4,0,1,421,0
Milford 6,505,416,36,2,4,0,2,965,0
Milford 7,792,572,69,4,13,0,9,"1,459",0
Milford 8,509,360,45,0,10,0,11,935,0
Novi Twp 1,48,50,6,0,1,0,0,105,0
Oakland 1,900,492,57,2,9,0,28,"1,488",0
Oakland 2,910,487,54,8,14,0,12,"1,485",0
Oakland 3,491,225,27,1,6,0,7,757,0
Oakland 4,828,389,35,0,7,0,10,"1,269",0
Oakland 5,767,640,42,4,13,1,10,"1,477",0
Oakland 6,1044,460,58,4,12,0,11,"1,589",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Oakland 7,1075,594,35,3,16,0,19,"1,742",0
Oakland 8,738,432,33,2,9,0,11,"1,225",0
Orion 1,815,455,74,2,20,0,11,"1,377",0
Orion 2,922,569,89,4,27,0,14,"1,625",0
Orion 3,890,483,48,1,16,2,11,"1,451",0
Orion 4,1012,525,72,1,16,1,10,"1,637",0
Orion 5,1007,610,52,2,9,1,15,"1,696",0
Orion 6,805,484,65,5,11,0,16,"1,386",0
Orion 7,673,514,57,5,16,1,13,"1,279",0
Orion 8,652,442,53,4,6,3,16,"1,176",0
Orion 9,729,572,77,2,24,0,15,"1,419",0
Orion 10,671,482,51,1,12,0,6,"1,223",0
Orion 11,536,333,59,2,11,1,7,949,0
Orion 12,789,512,57,3,22,2,12,"1,397",0
Orion 13,806,532,66,3,24,1,15,"1,447",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Orion 14,541,375,46,5,11,1,11,990,0
Orion 15,652,511,56,7,12,1,10,"1,249",0
Oxford 1,1085,590,88,1,20,1,18,"1,803",0
Oxford 2,695,358,69,5,5,1,11,"1,144",0
Oxford 3,1194,620,68,4,12,3,22,"1,923",0
Oxford 4,1196,502,76,6,19,0,13,"1,812",0
Oxford 5,679,398,49,6,17,1,12,"1,162",0
Oxford 6,1099,437,64,7,14,0,11,"1,632",0
Oxford 7,1005,564,65,4,14,0,21,"1,673",0
Rose 1,588,297,54,4,10,0,4,957,0
Rose 2,856,342,52,4,11,0,4,"1,269",0
Rose 3,908,382,54,1,12,0,8,"1,365",0
Royal Oak Twp 1,11,684,3,1,4,0,3,706,0
Royal Oak Twp 2,7,623,1,1,4,1,1,638,0
Southfield Twp 1,258,393,30,1,10,0,9,701,0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Southfield Twp 2,322,480,34,0,11,0,4,851,0
Southfield Twp 3,236,358,29,2,9,0,11,645,0
Southfield Twp 4,438,534,46,0,4,0,15,"1,037",0
Southfield Twp 5,360,639,39,1,14,0,10,"1,063",0
Southfield Twp 6,704,826,70,4,6,0,26,"1,636",0
Southfield Twp 7,393,445,31,3,4,0,17,893,0
Southfield Twp 8,400,717,24,2,8,1,12,"1,164",0
Southfield Twp 9,362,535,21,0,5,0,13,936,0
Southfield Twp 10,334,376,23,1,5,0,5,744,0
Springfield 1,766,355,35,1,10,0,8,"1,175",0
Springfield 2,660,354,47,2,11,0,13,"1,087",0
Springfield 3,1003,441,65,5,11,0,9,"1,534",0
Springfield 4,624,381,39,2,12,1,12,"1,071",0
Springfield 5,862,422,54,2,15,0,13,"1,368",0
Springfield 6,800,443,60,3,11,0,8,"1,325",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Springfield 7,446,173,46,1,3,0,6,675,0
Waterford 1,805,462,64,7,18,1,13,"1,370",0
Waterford 2,770,514,55,4,20,0,9,"1,372",0
Waterford 3,571,339,36,0,6,1,3,956,0
Waterford 4,801,553,63,2,10,1,15,"1,445",0
Waterford 5,712,413,61,3,10,0,9,"1,208",0
Waterford 6,799,567,96,9,21,0,8,"1,500",0
Waterford 7,792,381,46,2,13,1,2,"1,237",0
Waterford 8,910,521,64,2,13,1,21,"1,532",0
Waterford 9,616,376,44,6,9,0,9,"1,060",0
Waterford 10,703,508,55,3,10,0,13,"1,292",0
Waterford 11,710,426,42,5,12,1,7,"1,203",0
Waterford 12,747,486,54,2,11,0,13,"1,313",0
Waterford 13,403,535,47,6,16,1,6,"1,014",0
Waterford 14,573,367,37,2,3,0,6,988,0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Waterford 15,592,502,46,5,14,0,10,"1,169",0
Waterford 16,664,464,50,2,21,2,10,"1,213",0
Waterford 17,616,599,54,7,19,0,16,"1,311",0
Waterford 18,614,420,54,4,15,1,11,"1,119",0
Waterford 19,587,504,55,3,19,1,7,"1,176",0
Waterford 20,434,537,37,2,13,1,6,"1,030",0
Waterford 21,492,501,52,3,14,0,8,"1,070",0
Waterford 22,804,639,52,4,13,1,12,"1,525",0
Waterford 23,876,536,66,6,16,0,11,"1,511",0
Waterford 24,805,637,68,3,28,2,8,"1,551",0
Waterford 25,769,584,68,6,15,0,10,"1,452",0
Waterford 26,480,496,40,4,12,0,18,"1,050",0
Waterford 27,708,559,64,1,18,0,6,"1,356",0
Waterford 28,575,480,36,2,14,1,6,"1,114",0
Waterford 29,576,411,70,1,10,0,5,"1,073",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
W. Bloomfield 1,627,1030,40,1,8,0,6,"1,712",0
W. Bloomfield 2,841,715,59,6,21,0,6,"1,648",0
W. Bloomfield 3,333,396,16,0,11,1,5,762,0
W. Bloomfield 4,766,845,47,2,24,0,16,"1,700",0
W. Bloomfield 5,762,778,45,2,18,0,15,"1,620",0
W. Bloomfield 6,521,819,20,2,10,0,12,"1,384",0
W. Bloomfield 7,373,760,24,1,16,1,11,"1,186",0
W. Bloomfield 8,872,863,72,3,13,0,20,"1,843",0
W. Bloomfield 9,384,838,38,3,10,0,12,"1,285",0
W. Bloomfield 10,729,1144,43,1,14,1,11,"1,943",0
W. Bloomfield 11,501,1088,33,2,12,0,9,"1,645",0
W. Bloomfield 12,468,1228,24,2,9,0,11,"1,742",0
W. Bloomfield 13,509,971,48,5,12,0,12,"1,557",0
W. Bloomfield 14,652,506,48,3,13,1,4,"1,227",0
W. Bloomfield 15,657,1228,35,1,14,0,14,"1,949",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
W. Bloomfield 16,768,944,34,2,12,0,16,"1,776",0
W. Bloomfield 17,566,1050,37,1,14,0,10,"1,678",0
W. Bloomfield 18,619,677,27,1,5,0,10,"1,339",0
W. Bloomfield 19,391,1076,19,0,10,0,9,"1,505",0
W. Bloomfield 20,323,686,29,0,4,1,5,"1,048",0
W. Bloomfield 21,427,804,26,0,8,0,12,"1,277",0
W. Bloomfield 22,660,1049,39,1,7,0,16,"1,772",0
W. Bloomfield 23,734,1172,19,1,3,1,7,"1,937",0
W. Bloomfield 24,581,690,13,0,6,1,6,"1,297",0
W. Bloomfield 25,770,790,63,1,8,0,13,"1,645",0
White Lake 1,977,610,64,4,14,1,20,"1,690",0
White Lake 2,1070,507,74,7,17,1,17,"1,693",0
White Lake 3,660,334,40,2,3,0,8,"1,047",0
White Lake 4,483,228,31,1,14,0,5,762,0
White Lake 5,941,572,65,5,15,0,10,"1,608",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
White Lake 6,1054,587,58,5,16,0,11,"1,731",0
White Lake 7,808,433,44,4,17,0,4,"1,310",0
White Lake 8,977,505,75,4,14,1,9,"1,585",0
White Lake 9,785,519,62,5,16,0,14,"1,401",0
White Lake 10,770,451,68,3,18,0,16,"1,326",0
White Lake 11,1079,486,60,3,18,0,9,"1,655",0
White Lake 12,562,379,35,0,4,0,7,987,0
Auburn Hills 1,319,273,30,4,8,0,7,641,0
Auburn Hills 2,315,662,32,3,20,0,4,"1,036",0
Auburn Hills 3,473,575,50,3,22,0,17,"1,140",0
Auburn Hills 4,456,520,49,8,11,0,7,"1,051",0
Auburn Hills 5,481,461,41,0,9,0,15,"1,007",0
Auburn Hills 6,746,673,45,5,11,0,19,"1,499",0
Auburn Hills 7,372,822,45,4,16,0,12,"1,271",0
Auburn Hills 8,358,600,41,2,14,0,16,"1,031",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Auburn Hills 9,306,432,35,2,6,0,5,786,0
Berkley 1,541,817,75,2,20,0,16,"1,471",0
Berkley 2,525,808,60,0,16,0,19,"1,428",0
Berkley 3,433,768,66,5,22,0,10,"1,304",0
Berkley 4,467,837,83,2,14,0,15,"1,418",0
Berkley 5,398,689,57,2,21,0,9,"1,176",0
Berkley 6,465,755,71,4,21,0,10,"1,326",0
Berkley 7,447,784,68,4,21,2,17,"1,343",0
Birmingham 1,683,717,53,1,5,0,16,"1,475",0
Birmingham 2,622,812,57,1,14,0,23,"1,529",0
Birmingham 3,527,740,48,2,16,1,11,"1,345",0
Birmingham 4,726,771,63,2,8,0,20,"1,590",0
Birmingham 5,634,790,58,1,9,0,20,"1,512",0
Birmingham 6,664,884,61,0,7,0,26,"1,642",0
Birmingham 7,634,908,51,0,14,0,19,"1,626",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Birmingham 8,530,686,41,2,11,0,17,"1,287",0
Birmingham 9,455,575,61,0,11,1,13,"1,116",0
Bloomfield Hills 1,858,623,42,3,10,0,15,"1,551",0
Bloomfield Hills 2,598,521,26,2,3,0,12,"1,162",0
Clarkston 1,321,236,26,0,5,0,4,592,0
Clawson 1,763,918,83,10,25,0,12,"1,811",0
Clawson 2,502,627,83,4,17,0,10,"1,243",0
Clawson 3,555,614,65,4,25,0,15,"1,278",0
Clawson 4,519,512,66,2,15,0,8,"1,122",0
Clawson 5,682,711,70,3,18,0,23,"1,507",0
Farmington 1,327,449,43,2,7,0,4,832,0
Farmington 2,406,617,50,2,11,0,9,"1,095",0
Farmington 3,358,530,50,3,10,0,10,961,0
Farmington 4,299,567,51,0,8,0,14,939,0
Farmington 5,337,510,32,0,2,0,1,882,0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Farmington 6,346,552,34,4,8,1,8,953,0
Farmington Hills 1,481,1083,37,3,9,0,18,"1,631",0
Farmington Hills 2,524,1211,45,2,15,0,19,"1,816",0
Farmington Hills 3,608,1269,58,6,11,0,23,"1,975",0
Farmington Hills 4,626,1163,28,1,3,1,12,"1,834",0
Farmington Hills 5,607,757,28,1,6,0,9,"1,408",0
Farmington Hills 6,207,605,19,2,9,1,9,852,0
Farmington Hills 7,689,972,45,4,5,1,19,"1,735",0
Farmington Hills 8,598,903,36,3,6,0,10,"1,556",0
Farmington Hills 9,761,1151,69,8,20,0,18,"2,027",0
Farmington Hills 10,733,1255,83,4,15,0,26,"2,116",0
Farmington Hills 11,504,1188,46,2,13,1,9,"1,763",0
Farmington Hills 12,435,1028,32,2,13,0,13,"1,523",0
Farmington Hills 13,556,867,39,8,13,0,6,"1,489",0
Farmington Hills 14,791,864,74,5,21,0,19,"1,774",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Farmington Hills 15,400,515,28,2,7,0,6,958,0
Farmington Hills 16,768,1169,68,4,21,0,27,"2,057",0
Farmington Hills 17,230,1130,42,2,15,0,8,"1,427",0
Farmington Hills 18,479,649,33,4,12,1,7,"1,185",0
Farmington Hills 19,477,1074,47,4,11,0,7,"1,620",0
Farmington Hills 20,593,1285,80,4,28,0,10,"2,000",0
Farmington Hills 21,696,1045,85,3,32,0,14,"1,875",0
Farmington Hills 22,555,728,39,3,10,0,8,"1,343",0
Farmington Hills 23,649,726,41,4,9,0,18,"1,447",0
Farmington Hills 24,914,1111,64,4,18,0,34,"2,145",0
Farmington Hills 25,713,1137,55,8,14,2,15,"1,944",0
Farmington Hills 26,626,1026,73,4,27,1,20,"1,777",0
Farmington Hills 27,526,933,61,4,28,1,18,"1,571",0
Fenton 2,9,3,0,0,0,0,0,12,0
Ferndale 1,365,1402,72,1,29,0,15,"1,884",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Ferndale 2,246,928,72,2,32,2,11,"1,293",0
Ferndale 3,206,996,42,3,33,1,4,"1,285",0
Ferndale 4,290,826,61,0,36,0,15,"1,228",0
Ferndale 5,235,954,57,3,31,1,12,"1,293",0
Ferndale 6,410,738,62,3,26,2,10,"1,251",0
Ferndale 7,284,678,61,0,35,1,8,"1,067",0
Ferndale 8,138,510,35,0,14,0,13,710,0
Ferndale 9,238,1078,51,3,34,0,6,"1,410",0
Hazel Park 1,517,891,75,3,42,5,11,"1,544",0
Hazel Park 2,392,535,41,4,26,1,5,"1,004",0
Hazel Park 3,674,776,64,7,38,2,12,"1,573",0
Hazel Park 4,349,454,24,3,15,2,3,850,0
Hazel Park 5,586,809,50,6,26,4,8,"1,489",0
Huntington Woods 1,161,819,16,0,4,0,6,"1,006",0
Huntington Woods 2,196,603,22,3,7,0,4,835,0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Huntington Woods 3,204,640,22,3,8,0,10,887,0
Huntington Woods 4,125,663,24,1,5,0,7,825,0
Huntington Woods 5,161,633,33,0,6,0,10,843,0
Keego Harbor 1,681,620,44,2,26,0,9,"1,382",0
Lake Angelus 1,184,46,13,0,1,0,2,246,0
Lathrup Village 1,206,1177,21,3,10,0,8,"1,425",0
Lathrup Village 2,164,1204,25,2,11,0,7,"1,413",0
Madison Heights 1,418,528,61,4,21,0,10,"1,042",0
Madison Heights 2,436,505,30,3,13,0,7,994,0
Madison Heights 3,397,522,32,2,13,0,7,973,0
Madison Heights 4,495,510,37,4,16,0,9,"1,071",0
Madison Heights 5,437,470,44,3,12,0,5,971,0
Madison Heights 6,106,154,5,0,0,0,0,265,0
Madison Heights 7,712,730,68,2,15,0,15,"1,542",0
Madison Heights 8,831,827,81,6,30,1,20,"1,796",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Madison Heights 9,734,712,73,1,22,1,14,"1,557",0
Madison Heights 10,616,564,54,3,12,0,10,"1,259",0
Madison Heights 11,408,834,40,4,21,0,9,"1,316",0
Northville 2,1001,1022,69,3,11,0,23,"2,129",0
Novi 1,725,666,51,8,14,0,11,"1,475",0
Novi 2,834,910,65,1,14,2,20,"1,846",0
Novi 3,521,765,36,1,14,1,9,"1,347",0
Novi 4,562,763,63,5,11,5,17,"1,426",0
Novi 5,361,626,39,0,5,1,7,"1,039",0
Novi 6,547,784,49,3,12,0,8,"1,403",0
Novi 7,492,674,40,1,9,0,12,"1,228",0
Novi 8,503,616,32,0,11,1,10,"1,173",0
Novi 9,708,957,51,3,20,0,15,"1,754",0
Novi 10,446,388,37,3,0,0,6,880,0
Novi 11,610,556,69,3,15,0,8,"1,261",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Novi 12,517,1072,71,2,24,0,17,"1,703",0
Novi 13,386,551,26,4,10,0,8,985,0
Novi 14,479,536,38,0,16,1,17,"1,087",0
Novi 15,750,696,42,3,8,1,14,"1,514",0
Novi 16,889,866,61,4,9,0,19,"1,848",0
Novi 17,861,814,72,2,8,0,22,"1,779",0
Novi 18,902,762,65,2,7,0,28,"1,766",0
Novi 19,626,461,31,1,8,0,10,"1,137",0
Novi 20,617,474,44,5,7,0,6,"1,153",0
Novi 21,543,576,33,2,3,0,12,"1,169",0
Novi 22,345,457,28,6,18,1,8,863,0
Oak Park 1,114,439,9,1,4,0,2,569,0
Oak Park 2,410,620,32,1,11,1,11,"1,086",0
Oak Park 3,402,721,30,1,13,0,8,"1,175",0
Oak Park 4,311,462,7,1,3,0,11,795,0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Oak Park 5,50,585,8,1,8,1,3,656,0
Oak Park 6,149,835,11,1,8,1,3,"1,008",0
Oak Park 7,60,945,6,3,7,0,0,"1,021",0
Oak Park 8,40,1036,7,2,11,1,1,"1,098",0
Oak Park 9,41,1034,6,1,1,1,4,"1,088",0
Oak Park 10,45,1139,7,1,8,0,5,"1,205",0
Oak Park 11,88,680,11,0,3,1,7,790,0
Oak Park 12,65,1043,6,2,13,1,5,"1,135",0
Oak Park 13,62,1051,18,1,19,1,5,"1,157",0
Oak Park 14,156,717,28,4,14,1,7,927,0
Oak Park 15,99,756,22,1,14,1,2,895,0
Oak Park 16,184,737,36,3,27,3,3,993,0
Orchard Lake 1,865,570,42,0,4,0,7,"1,488",0
Pleasant Ridge 1,211,690,32,0,15,0,5,953,0
